Date,PRECP,TMEAN,TMAX,DISCH,TMIN,SEDM
11/17/1990,0.527889592,0.538029197,0.55887944,0.483727298,0.559101975,0.492879896
11/18/1990,0.528188614,0.543321168,0.546173087,0.487181813,0.580687044,0.492644909
11/19/1990,0.527924094,0.536094891,0.53901951,0.482272718,0.577711658,0.492694517
11/20/1990,0.528625647,0.532810219,0.552226113,0.48872728,0.558560995,0.493237598
11/25/1990,0.52867165,0.593905109,0.592346173,0.494272745,0.605734379,0.493164491
12/6/1990,0.52867165,0.586240876,0.566633317,0.491090891,0.622180146,0.491644909
12/7/1990,0.528372628,0.584744526,0.588444222,0.495000002,0.59637544,0.490456919
12/8/1990,0.528637148,0.572481752,0.581590795,0.504545465,0.585609954,0.489336815
12/9/1990,0.527935595,0.589817518,0.586393197,0.50027271,0.606113065,0.48751436
12/10/1990,0.527889592,0.572445255,0.572386193,0.493363648,0.595509873,0.486801567
12/17/1990,0.530166763,0.630474453,0.628664332,0.493181842,0.620665404,0.488159269
12/20/1990,0.532282921,0.634270073,0.610055028,0.484636394,0.646416013,0.488746736
12/23/1990,0.529522714,0.572992701,0.572386193,0.475545496,0.596321342,0.489856397
12/25/1990,0.529856239,0.592007299,0.576088044,0.470272788,0.620503111,0.49156658
1/1/1991,0.529856239,0.632445255,0.627113557,0.468545483,0.625263727,0.492558747
1/2/1991,0.527590569,0.614890511,0.6004002,0.46490913,0.628130917,0.493707572
1/3/1991,0.52546291,0.555620438,0.566783392,0.464727291,0.5766297,0.494869452
1/5/1991,0.530178263,0.651058394,0.629214607,0.464727291,0.650581553,0.494451697
1/7/1991,0.529223692,0.602956204,0.623411706,0.469545466,0.585555856,0.494516971
1/8/1991,0.529522714,0.589817518,0.589244622,0.475000012,0.603029483,0.494190601
1/9/1991,0.529879241,0.585,0.592546273,0.475909108,0.592318096,0.493642298
1/12/1991,0.527142036,0.605474453,0.617358679,0.479545494,0.59583446,0.493642298
1/13/1991,0.525152386,0.551678832,0.584642321,0.483181847,0.551474168,0.494099217
